"Daily Weather Observations for Sydney, New South Wales for November 2021"
"Prepared at 13:00 UTC on Wednesday  1 December 2021   IDCJDW2124.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,12.9,24.6,0,5.2,4.3,ENE,33,12:00,17.8,70,7,W,4,1026.5,21.6,57,7,NE,17,1024.0
,2021-11-2,16.4,25.9,0,6.6,11.1,ENE,43,16:58,21.0,72,3,E,11,1027.7,25.0,56,5,ENE,30,1026.4
,2021-11-3,17.3,25.1,0,7.4,10.9,NE,46,13:40,21.3,60,3,NNE,20,1026.9,24.8,51,7,NE,26,1022.9
,2021-11-4,18.2,20.7,0,10.0,0.0,ENE,22,08:03,20.4,73,8,E,13,1021.5,20.1,86,8,NE,11,1020.6
,2021-11-5,16.7,25.0,7.6,1.4,1.6,ENE,41,14:21,19.4,90,8,ENE,9,1021.5,23.1,69,7,ENE,24,1018.9
,2021-11-6,16.2,26.0,0,4.6,11.6,NNE,48,17:52,20.0,78,2,E,13,1015.9,25.2,57,1,NE,22,1010.7
,2021-11-7,17.9,26.1,0.4,7.6,0.5,W,30,07:15,19.6,89,8,W,13,1009.8,19.8,84,8,NNW,7,1006.8
,2021-11-8,17.8,24.8,9.6,1.0,7.2,ESE,30,12:41,19.6,92,7,E,6,1008.2,23.2,67,6,ESE,19,1007.7
,2021-11-9,17.1,24.8,1.4,6.8,8.2,ENE,28,17:34,18.9,83,7,SSW,15,1013.0,23.7,68,6,ENE,15,1010.7
,2021-11-10,18.8,21.1,0,4.4,0.4,,,,20.9,85,7,NW,9,1009.1,19.5,98,8,ESE,4,1006.9
,2021-11-11,17.5,19.4,17.6,1.2,0.0,SSE,44,22:06,18.4,86,8,SSE,26,1006.5,17.6,83,8,SSE,19,1005.9
,2021-11-12,13.0,22.4,16.8,5.2,4.0,NW,39,22:35,14.6,99,8,W,20,998.1,20.4,73,6,SSE,17,994.5
,2021-11-13,14.6,21.4,0.2,4.4,7.5,WNW,69,14:30,17.6,50,3,WNW,33,998.2,20.6,42,7,WNW,37,997.4
,2021-11-14,13.3,23.2,0.4,10.2,10.7,NW,67,16:49,17.4,47,7,WNW,28,1007.7,23.1,32,5,W,35,1003.9
,2021-11-15,13.0,24.1,0.8,6.4,11.8,WSW,54,17:32,16.8,41,1,W,30,1007.5,21.3,31,3,WNW,31,1007.0
,2021-11-16,13.7,21.6,0,8.8,13.0,ESE,41,14:16,17.0,41,1,WSW,20,1015.9,20.1,44,1,ESE,26,1017.1
,2021-11-17,13.5,22.5,0,8.0,10.1,E,31,15:05,17.2,63,5,SSE,11,1024.6,22.0,55,2,E,19,1022.6
,2021-11-18,14.9,25.3,0,8.0,11.3,NE,44,16:36,19.9,71,3,NNE,19,1021.2,24.5,62,1,NE,26,1015.5
,2021-11-19,19.0,30.5,1.0,7.6,3.4,SSW,59,17:01,19.1,89,8,ESE,6,1013.4,29.4,45,8,ENE,24,1010.0
,2021-11-20,17.3,21.0,0.2,4.2,0.2,SSE,37,17:51,19.2,84,8,E,4,1010.7,18.6,81,8,SSE,19,1010.8
,2021-11-21,15.3,19.2,13.0,3.6,0.0,ESE,52,20:27,16.0,97,8,S,17,1016.3,16.0,98,8,SSE,28,1015.8
,2021-11-22,15.4,22.3,18.4,2.0,4.0,SSE,44,10:37,18.8,74,7,SSE,28,1022.4,21.8,64,5,SSE,24,1021.1
,2021-11-23,16.3,22.7,2.8,4.8,2.6,ESE,30,12:00,18.8,88,7,ESE,20,1021.2,21.9,78,7,ESE,13,1019.1
,2021-11-24,17.8,27.6,0.4,2.2,3.8,NE,48,15:58,21.0,90,8,ESE,7,1017.3,26.3,71,7,ENE,26,1014.0
,2021-11-25,19.8,24.5,6.0,5.0,0.2,NE,31,16:45,21.1,98,8,E,6,1011.7,23.5,90,7,NE,11,1007.2
,2021-11-26,16.5,18.7,21.4,8.8,0.0,S,63,13:45,17.1,98,8,SSW,26,1009.0,18.3,86,8,S,33,1009.9
,2021-11-27,15.2,18.7,17.0,2.6,0.7,SSE,59,12:23,15.2,95,8,S,22,1018.1,18.3,68,7,S,33,1018.7
,2021-11-28,15.1,21.2,2.0,4.6,4.1,SSE,46,07:49,17.5,75,5,SSE,28,1022.4,19.7,56,7,S,26,1021.1
,2021-11-29,14.0,23.3,0,4.0,3.2,ESE,28,11:31,18.6,67,7,S,11,1021.1,20.5,60,6,E,13,1018.5
,2021-11-30,18.1,23.3,0,5.8,0.0,NE,26,20:17,20.3,80,8,E,6,1018.7,21.8,86,8,ESE,11,1016.5